Sample ID,Sample Type,Sample Name,Cultivator Batch ID,Cultivar Name,Norbaeocystin (mg/g),Baeocystin (mg/g),Psilocybin (mg/g),Psilocin (mg/g)
297,N/A,N/A,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
298,Concentrate-Root,MHC-Root,,Mimosa Hostilis Extract,0,0,0,0
299,Concentrate-Cactus,JPC-Cactus,,San Pedro Exract,#VALUE!,#VALUE!,#VALUE!,#VALUE!
300,Seeds,Syrian Rue Seeds,,,0,0,0,0
301,Spore Print,Small Golden Teacher Print ,,Golden Teacher,#VALUE!,#VALUE!,#VALUE!,#VALUE!
302,Spore Swab,PE6 Spore Swab,,PE6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
303,Spore Swab,PE6 Spore Swab,,PE6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
304,Liquid Culture,PooGod Taso Liquid Culture 1:2 ,,Taso,0,0,0,0
305,Liquid Culture,PooGod Elephant Dung Cambodian Liquid Culture ,,Elephant Dung Cambodian,0,0,0,0
306,Liquid Culture,SheGrows La Fortuna Liquid Culture  ,,La Fortuna,0,0,0,0
307,Liquid Culture,SheGrows Bull Run Liquid Culture ,,Bull Run,0,0,0,0
308,Liquid Culture,SheGrows Purple Mystic Liquid Culture ,,Purple Mystic ,0,0,0,0
309,Concentrate,BS,,,0.003,0.0218,0.7306,0.0208
310,Concentrate,B5,,,0,0.2882,9.9351,0.2202
311,Concentrate,35,,,0,0.0963,2.3404,0.1775
312,Concentrate,PooGod Taso Liquid Culture 2:1,,Taso,0,0,0,0
313,Fruit-QC,T227-QC-Rep 95,,Trinity Powder,0.036,0.1527,9.6378,0.5192
314,Fruit-QC,T227-QC-Rep 96,,Trinity Powder,0.048,0.1543,9.3575,0.5023
315,Fruit-QC,T227-QC-Rep 97,,Trinity Powder,0.043,0.1566,9.589,0.5151
316,Fruit-QC,T227-QC-Rep 98,,Trinity Powder,0.048,0.1581,9.7037,0.532
317,Fruit-QC,T227-QC-Rep 99,,Trinity Powder,0.041,0.1536,9.6733,0.5015
318,Liquid Culture,PooGod Elephant Dung Cambodian DRIED Liquid Culture ,,Elephant Dung Cambodian,0,0,0,0
319,Liquid Culture,SheGrows Purple Mystic DRIED Liquid Culture ,,Purple Mystic ,0,0,0,0
320,Fruit,Unknown cubensis,,N/A,0.029,0.1588,4.6691,1.6259
321,Liquid Concentrate,Trinity MeOH Extract,,N/A,0.014,0.0559,3.5999,0.0269
322,Fruit,H. Blue Meanie - 1st Flush,,,0,0.1662,2.4909,0.6207
323,Fruit,H. Blue Meanie - 2nd Flush,,,0,0.1991,3.0753,0.2849
324,Fruit,H. Blue Meanie - 3rd Flush,,,0,0.1755,3.3313,0.7241
325,Fruit,Jack Frost -  #1 - 1st Flush,,,0.083,0.7351,3.2265,0.7404
326,Fruit,Jack Frost -  #1 - 2nd Flush,,,0.038,0.3575,3.0432,1.435
327,Fruit,Infinities Chode - 1st Flush ,,,0,0.0476,3.0976,0.5357
328,Fruit,Infinities Chode - 2nd Flush ,,,0,0.0372,2.2012,0.8509
329,Fruit,Albino Infinities - 1st Flush ,,,0,0.1806,4.1423,0.5777
330,Fruit,Albino Infinities - 2nd Flush ,,,0.041,0.2704,4.7983,0.4563
331,Fruit,Jack Pow ,,,0.066,0.6115,5.5079,1.0116
332,Fruit,Albino Trinity Pow,,,0,0.1218,2.5591,0.5369
333,Concentrate,Jack Conc. 1st Wash ,,,0,1.152,13.6055,3.158
334,Concentrate,Jack Conc. 2nd Wash,,,0,1.1939,12.9982,3.2986
335,Fruit,Jack Spent Powder 1st Pass,,,0.048,0.3225,2.4302,0.4846
336,Fruit,Jack Spent Powder 2nd Pass,,,0.053,0.4014,2.7897,0.3941
337,Fruit-QC,T227-QC-Rep 100,,,0.037,0.1273,7.0298,0.3671
338,Fruit-QC,T227-QC-Rep 101,,,0.044,0.1545,9.0121,0.4732
339,Fruit-QC,T227-QC-Rep 102,,,0.045,0.1704,9.6187,0.5164
340,Fruit-QC,T227-QC-Rep 103,,,0.039,0.156,9.1822,0.4667
341,Fruit-QC,T227-QC-Rep 104,,,0.043,0.1668,9.1686,0.4716
342,Concentrate,Jacob Mush Extract,,,0.064,0.2653,5.2789,0.5526
T-343,Fruit-QC,Unknown cubensis (From Sample 320) Rep 1,,,0.024,0.1773,4.5738,1.6027
T-344,Fruit-QC,Unknown cubensis (From Sample 320) Rep 2,,,0.027,0.1723,4.6174,1.6975
T-345,Fruit-QC,Unknown cubensis (From Sample 320) Rep 3,,,0.033,0.1548,4.5159,1.6249
T-346,Fruit-QC,Unknown cubensis (From Sample 320) Rep 4,,,0.033,0.1677,4.6001,1.7469
T-347,Liquid Culture,Spore Syringe,,Psilocybe cubensis,0,0,0,0
T-348,Liquid Culture,Liquid Culture Syringe,,Psilocybe cubensis,0.004,0,0.0406,0
T-349,Fruit,Jack Frost-Manure Substrate,,Psilocybe cubensis-Jack Frost,0.108,0.5779,7.8386,0.1538
T-350,Fruit,Psilocybe ovoideocystidiata Rep 1,,Psilocybe ovoideocystidiata,0.154,0.7319,9.4774,0.5618
T-351,Fruit,Psilocybe ovoideocystidiata Rep 2,,Psilocybe ovoideocystidiata,0.122,0.6157,8.0556,0.5189
T-352,Fruit-QC,Tryp QC #2-1,,Psilocybe cubensis-Jack Frost,0.049,0.3412,4.0916,0.8612
T-353,Fruit-QC,Tryp QC #2-2,,Psilocybe cubensis-Jack Frost,0.048,0.3368,4.123,0.8649
T-354,Fruit-QC,Tryp QC #2-3,,Psilocybe cubensis-Jack Frost,0.047,0.3491,4.1237,0.8512
T-355,Fruit-QC,Tryp QC #2-4,,Psilocybe cubensis-Jack Frost,0.048,0.3421,4.0461,0.8588
T-356,Fruit-QC,Tryp QC #2-5,,Psilocybe cubensis-Jack Frost,0.049,0.3357,4.1244,0.8757
T-357,Gummy,CD - Blue 100mg gummy ,,Psilocybe Cubensis - Jack Frost,0,0,0,0
T-358,Fruit,CUP265,,Psilocybe cubensis-Leucistic Cambodian P,0.038,0.1564,4.0785,0.5075
T-359,Fruit,CUP266,,Psilocybe cubensis-Albino/Leucistic Melmac P,0.079,0.4258,7.4964,1.3866
T-360,Fruit,CUP267,,Psilocybe cubensis,0.092,0.5363,11.7846,0.7032
T-361,Fruit,CUP268,,Psilocybe cubensis-Blue Meanie RL,0.059,0.2229,6.6139,0.3981
T-362,Fruit,CUP269,,Psilocybe cubensis-Albino Penis Envy,0.071,0.3916,12.4022,0.5059
T-363,Fruit,CUP270,,Psilocybe cubensis-Jedi Mindfuck JW,0.046,0.1984,4.9929,0.2722
T-364,Fruit,CUP271,,Psilocybe cubensis-Penis Envy JW,0.046,0.235,11.2561,0.6198
T-365,Fruit,CUP272,,Paneolus bisporus,0.135,0.689,14.3309,4.8505
T-366,Fruit,CUP273,,Psilocybe galendoii,0.249,0.772,7.2595,0.6031
T-367,Fruit,CUP274,,Psilocybe cubensis-Leucistic Golden Teacher,0.028,0.1515,9.7555,1.0498
T-368,Fruit,CUP275,,Psilocybe cubensis-Melmac,0.025,0.0938,4.6553,1.4057
T-369,Fruit,CUP276,,Psilocybe cubensis-Old Dirty Penis Envy,0.035,0.1909,3.6411,1.0312
T-370,Fruit,CUP277,,Psilocybe cubensis-DC Mac,0,0.056,1.0422,1.4053
T-371,Fruit,CUP278,,South American Landrace - Amazonian,0.071,0.2887,6.7305,0.2753
T-372,Fruit,CUP279,,Psilocybe cubensis-Albino Avery's,0.084,0.3505,6.2539,0.2671
T-373,Fruit,CUP280,,Psilocybe cubensis,0.069,0.2422,7.166,0.5648
T-374,Fruit,CUP281,,Psilocybe cubensis-Albino Penis Envy,0.064,0.3479,9,1.0901
T-375,Fruit,CUP282,,Psilocybe cubensis-Pearly Gates,0.065,0.3891,8.5043,0.9917
T-376,Fruit,CUP283,,Psilocybe cubensis-Shepperd's Penis Envy,0,0.0595,1.3275,1.6919
T-377,Fruit-QC,Tryp QC #2-6,,Psilocybe cubensis-Jack Frost Mix,0.061,0.2799,4.2611,0.7512
T-378,Fruit-QC,Tryp QC #2-7,,Psilocybe cubensis-Jack Frost Mix,0.055,0.2899,4.3603,0.7648
T-379,Fruit-QC,Tryp QC #2-8,,Psilocybe cubensis-Jack Frost Mix,0.061,0.3314,4.6664,0.8316
T-380,Extract,BVI 24hr MeOH,,British Virgin Island Panaeolus cyanescens,0.24,1.3958,21.0406,11.7898
T-381,Extract,BVI 48hr MeOH,,British Virgin Island Panaeolus cyanescens,0.305,1.6156,24.3326,13.1434
T-382,Extract,BVI 24hr MeOH-H2O +Acetic Acid,,British Virgin Island Panaeolus cyanescens,0.392,1.8236,25.551,13.4352
T-383,Extract,BVI 48hr MeOH-H2O +Acetic Acid,,British Virgin Island Panaeolus cyanescens,0.453,2.1108,29.7206,15.1398
T-384,Fruit,A Grade TTBVI,3:45 135F,British Virgin Island Panaeolus cyanescens,0.268,1.321,26.8719,5.6526
T-385,Fruit,B Grade TTBVI,Full Maturity,British Virgin Island Panaeolus cyanescens,0.175,0.8219,22.5801,4.5551
T-386,Fruit,Shakti K/O,,Psilocybe cubensis-Shakti,0.038,0.1687,16.1419,0.3761
T-387,Fruit-QC,Tryp QC #2-9,,Psilocybe cubensis-Jack Frost Mix,0.055,0.3157,4.6337,0.8094
T-388,Fruit-QC,Tryp QC #2-10,,Psilocybe cubensis-Jack Frost Mix,0.058,0.3221,4.53,0.8239
T-389,Fruit-QC,Tryp QC #2-11,,Psilocybe cubensis-Jack Frost Mix,0.057,0.3165,4.6615,0.8264
T-390,Fruit-QC,Tryp QC #2-12,,Psilocybe cubensis-Jack Frost Mix,0.056,0.3133,4.5939,0.7751
T-391,Fruit-QC,Tryp QC #2-13,,Psilocybe cubensis-Jack Frost Mix,0.06,0.3288,4.6273,0.8193
T-392,Fruit,CUP284,,Psilocybe cubensis-Texas Orange Cap Big Boi,0.049,0.2674,5.0654,0.3138
T-393,Fruit,CUP285,,Psilocybe cubensis-Texas Orange Cap DJA,0.029,0.1481,5.1887,0.2735
T-394,Fruit,CUP286,,Psilocybe cubensis-PEU Aborts,0.05,0.2917,14.5523,2.0878
T-395,Fruit,CUP287,,Psilocybe cubensis-Enigma SCM,0,0.0841,11.1314,0.3264
T-396,Fruit,CUP288,,Psilocybe natalensis,0.129,0.7591,8.1407,1.483
T-397,Fruit,CUP289,,Psilocybe cubensis-North American Landrace - Arkansas Hillbilly,0.021,0.0375,1.323,0.2879
T-398,Fruit,CUP290,,Psilocybe cubensis-TW3 MMF,0.026,0.0586,3.1139,1.0775
T-399,Fruit,CUP291,,Psilocybe cubensis-SV-13 x Albino Penis Envy,0.082,0.2898,10.0672,0.7277
T-400,Fruit,CUP292,,Psilocybe cubensis-BD MM,0.056,0.2981,9.5214,0.9042
T-401,Fruit,CUP293,,Psilocybe cubensis-LD MM,0.056,0.2058,9.379,1.2128
T-402,Fruit,CUP294,,Psilocybe cubensis-Texas Orange Cap SC,0.039,0.1957,3.5879,0.2463
T-403,Fruit,CUP295,,Psilocybe cubensis-Central American Landrace - Escondido Mexico,0.023,0.0479,0.9563,0.7742
T-404,Fruit,CUP296,,"Psilocybe semperviva/subtropicalis
",0.263,1.1424,17.1164,1.2119
T-405,Fruit,CUP297,,"Psilocybe cubensis-Golden Teacher MH
",0.027,0.1015,3.647,0.978
T-406,Fruit,CUP298,,Psilocybe cubensis-Melmac,0.063,0.3225,12.0528,0.3942
T-407,Fruit,CUP299,,"Psilocybe cubensis-Enigma Tony
",0.037,0.1926,7.4658,0.9158
T-408,Fruit,CUP300,,Psilocybe cubensis-Penis Envy Tony,0.028,0.1048,10.6466,0.1786
T-409,Fruit,CUP301,,"Psilocybe cubensis-Ghost Anon
",0.054,0.295,15.0032,0.2245
T-410,Fruit,CUP302,,"Psilocybe cubensis-Tidal Wave Bob
",0.037,0.2108,2.3732,0.9748
T-411,Fruit,CUP303,,Psilocybe cubensis-Jack Frost Wumbo,0.037,0.1675,6.1685,0.2908
T-412,Fruit,CUP304,,Psilocybe cubensis-Albino Trinity x Treasure Coast,0.036,0.1905,7.687,0.1535
T-413,Fruit,CUP305,,Psilocybe cubensis-Melmac,0.041,0.169,6.962,0.4889
T-414,Fruit,CUP306,,"Psilocybe cubensis-Golden Teacher MH
",0.062,0.2606,10.376,0.5858
T-415,Fruit,CUP308,,Psilocybe cubensis-Albino Thai Lipo Yoi,0.05,0.2446,7.1477,0.5009
T-416,Fruit,CUP309,,Psilocybe cubensis-Leucistic Burma,0.044,0.229,4.1857,0.899
T-417,Fruit,CUP310,,Psilocybe natalensis,0.078,0.3009,12.7852,0.1826
T-418,Fruit,CUP311,,"Psilocybe cubensis-Yeti X Melmac
",0,0.0505,4.0638,4.2836
T-419,Fruit,CUP313,,Psilocybe allenii,0.12,0.7056,14.0186,0.8427
T-420,Fruit,CUP314,,"Psilocybe allenii
",0.126,0.6881,13.7333,0.9544
T-421,Fruit,CUP315,,"Psilocybe cubensis-Hillbilly Anon
",0.058,0.2416,8.2083,0.1995
T-422,Fruit,CUP316,,"Psilocybe cubensis-B+ Anon
",0.075,0.457,7.5891,0.4071
T-423,Fruit,CUP317,,"Psilocybe cubensis-Mazapetec Anon
",0.086,0.4654,7.5648,0.2038
T-424,Mycellium,HLO77,,Psilocybe hoogshagenii-P. hoogs grain,0,0,0.2722,0.0208
T-425,Mycellium,HLO78,,P. hoogs x P. tampanensis grain,0.022,0.0421,1.1962,0.0956
T-426,Mycellium,HLO79,,Psilocybe hoogshagenii-Dried P. hoogs pearls,0,0,0,0
T-427,Capsule,HLO81,,"Psilomethoxin Gelcap
",0.038,0.0988,4.0934,0.6379
T-428,Fruit,Good APE,,,0.165,1.0488,16.938,0.8226
T-429,Fruit,Bad Big APE,,,0.038,0.1796,6.0058,2.3024
T-430,Fruit,Small Bad APEs,,,0.031,0.1214,4.9694,1.0363
T-431,Fruit,Early Harvest Jack Cap,,,0.12,0.8469,8.996,0.6052
T-432,Fruit,Late Harvest Jack Cap,,,0.081,0.5054,9.6487,0.2675
T-433,Fruit,Jack Stem Mix,,,0.037,0.1381,4.9429,1.6687
T-434,Concentrate,Haas Deemz - Limonene Wash,,,0,0,0,0
T-435,Mycellium,APE 110,,APE 110,0.019,0.0151,0.0374,0
T-436,Mycellium,Yeti,,Yeti,0.013,0.0115,0.0509,0
T-437,Mycellium,PE 7,,PE 7,0,0,0.0292,0
T-438,Mycellium,Hawaiian Blue Meenie,,Hawaiian Blue Meenie,0.018,0.0146,0.0196,0
T-439,Mycellium ,HO-80-B,,,0,0,0,0
T-440,Fruit,APE-T.F.,,Psilocybe cubensis-APE,0.056,0.3028,2.9033,1.2733
T-441,Extract,SZ1,,,0.09,0.0829,10.175,0.298
T-442,Extract,H (Gold Cap Jar),,,0.037,0.0848,2.3212,0.494
T-443,Extract,G1,,,0.099,0.0478,7.5529,0.3293
T-444,Extract,G2,,,0.104,0.0743,6.7155,0.1337
T-445,Extract,G3,,,0.115,0.0813,9.8501,0.2317
T-446,Extract,J1,,,0.102,0.0482,7.4881,0.3243
T-447,Extract,J2,,,0.065,0.0513,6.1308,0
T-448,Extract,J3,,,0.068,0.0456,6.4579,0.3343
T-449,Extract,J4,,,0.075,0.0425,7.226,0
T-450,Extract,J5,,,0.078,0.0459,5.9618,0.0949
T-451,Extract,A1,,,0,0,0.8718,0.0589
T-452,Extract,E1,,,0,0,1.054,0.0637
T-453,Extract,E2,,,0.058,0,1.1779,0
T-454,Extract,F,,,0.074,0.3402,12.6969,8.534
T-455,Extract,15ml MeOH 11g Fresh Frozen Extract ,,,0.029,0.1826,2.2348,0.0156
T-456,Extract,30ml MeOH 11g Fresh Frozen Extract,,,0.049,0.395,7.1343,0.0375
T-457,Fruit-QC,Tryp QC #2-14,,,0.066,0.3232,4.8444,0.8135
T-458,Fruit-QC,Tryp QC #2-15,,,0.057,0.3196,4.8952,0.7893
T-459,Fruit-QC,Tryp QC #2-16,,,0.059,0.302,4.7183,0.7762
T-460,Fruit-QC,Tryp QC #2-17,,,0.061,0.3245,4.9695,0.8105
T-461,Fruit-QC,Tryp QC #2-18,,,0.064,0.3207,4.8648,0.7948
T-462,Biomass,Ax,,,0.018,0.014,1.3705,0.1098
T-463,Biomass,Bx,,,0.015,0.0122,1.1087,0.196
T-464,Biomass,K,,,0,0,0.2014,0
T-465,Biomass,N1,,,0,0,0.4302,0.0193
T-466,Biomass,N2,,,0,0.0082,0.4123,0.0289
T-467,Biomass,L,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-468,Extract,A1-22,,,0.12,0.4814,22.5427,0.857
T-469,Extract,B1-23,,,0.091,0.3549,17.6508,1.4144
T-470,Extract,C4/5,,,0.115,0.3858,15.3345,0.7024
T-471,Extract,D-99,,,0.088,0.0471,4.4287,0.1166
T-472,Extract,A-1st Wash,,,0.089,0.0669,8.0163,0.0403
T-473,Extract,B-2cd Wash,,,0.055,0.0434,5.0482,0.0147
T-474,Extract,Active-J,,,0.011,0.0097,0.728,0.0172
T-475,Extract,Ethanol-J,,,0.103,0.2756,29.7313,1.2792
T-476,Extract,S2-Goo Methanol,,,0.095,0.1027,10.6982,0.2738
T-477,Extract,Methanol-J,,,0.091,0.1867,32.2783,0.4677
T-478,Fruit,S2-Inf-Fruit,,Psilocybe cubensis-Infinity,0.05,0.1282,8.1181,0.3857
T-479,Extract,DMT Isolate,,Mimosa hostillis,0,0,0,0
T-480,Extract,DMT Isolate,,Mimosa hostillis,0,0,0,0
T-481,Extract,DMT Isolate,,Mimosa hostillis,0,0,0,0
T-482,Fruit,RW(Rusty White) Dehydrated - Oregon,,Rusty White,0.04,0.158,7.0196,0.9104
T-483,Fruit,APE (Albino Penis Envy) Dehydrated- Oregon,,Albino Penis Envy,0.026,0.1128,3.8148,1.5026
T-484,Fruit,GT (Golden Teacher) Dehydrated - Oregon,,Golden Teacher,0.045,0.2643,5.6136,0.2206
T-485,Fruit,Shiva Lingam Freeze Dried - 100 F Second Flush,,Shiva Lingam,0.029,0.1045,6.9898,5.3074
T-486,Fruit,Shiva Lingam Dehydrated 140 F 2nd Flush,,Shiva Lingam,0.041,0.1571,7.5697,1.9821
T-487,Fruit,Shiva Lingam Freeze Dried - 100 F First Flush,,Shiva Lingam,0.032,0.0971,5.3754,5.0103
T-488,Fruit,Shiva Lingam Dehydrated 140 F First Flush,,Shiva Lingam,0.037,0.1764,9.2734,0.7174
T-489,Fruit-QC,Tryp QC #2-19,,Psilocybe cubensis-Jack Frost Mix,0.05,0.2419,4.0238,0.6396
T-490,Fruit-QC,Tryp QC #2-20,,Psilocybe cubensis-Jack Frost Mix,0.047,0.2527,4.2194,0.6976
T-491,Fruit-QC,Tryp QC #2-21,,Psilocybe cubensis-Jack Frost Mix,0.049,0.2801,4.284,0.705
T-492,Fruit-QC,Infinities QC ,,Trinity Powder,0.065,0.1536,8.9161,0.4112
T-493,Fruit-QC,Infinities QC ,,Trinity Powder,0.059,0.1367,8.7405,0.4026
T-494,Fruit-QC,Infinities QC ,,Trinity Powder,0.06,0.1399,8.685,0.3998
T-495,Concentrate ,Jari - Extract 1 (Goo),,,0.184,0.9657,39.5003,0.8029
T-496,Concentrate ,Jari - Extract 2 (Powder),,,0,0.0359,0.9792,0.0287
T-497,Concentrate ,Jari - Extract 3 (Pill-like),,,0,0,0.1129,0
T-498,Concentrate ,Jari - Extract 3 (Pill-like),,,0,0.0137,0.2139,0
T-499,Fruit ,Shiva Lingam Dehydrated 140 F 2nd Flush,Rerun,,0.043,0.1739,7.2506,1.9503
T-500,Fruit ,Cascadian Teachers (Dried & Ground) ,CT12220223S,Psilocybe Cubensis,0.043,0.1031,6.2198,0.358
T-501,Fruit ,Hillibilly (Dried & Ground) ,HB10221222S,Psilocybe Cubensis,0.043,0.1641,5.7842,1.8929
T-502,Fruit ,Z (Dried & Ground),ZS02230223S,Psilocybe Cubensis,0.052,0.22,4.1882,0.2694
T-503,Fruit ,Penis Envy (Dried & Ground) \,PE11220123R,Psilocybe Cubensis,0.046,0.1989,6.9509,0.2267
T-504,Fruit ,Hillibilly (Dried & Ground) ,HB1022R,Psilocybe Cubensis,0,0,0.0232,2.1314
T-505,Fruit ,Penis Envy SPORED (Dried & Ground) ,PS09220223R,Psilocybe Cubensis,0.037,0.1407,5.1767,0.192
T-506,Fruit ,McKennaii (Dried & Ground),MK12220223R,Psilocybe Cubensis,0.047,0.1549,6.4379,0.1831
T-507,Fruit ,Red Caps Blend (Dried & Ground) ,RC09221222S,Psilocybe Cubensis,0.042,0.157,5.8155,0.6867
T-508,Fruit ,Super Bowl Blend (Dried & Ground) ,SB09220223F,Psilocybe Cubensis,0.049,0.1859,6.0933,0.4896
T-509,Fruit ,Stumps Blend (Dried & Ground) ,ST08220123S,Psilocybe Cubensis,0.053,0.1781,3.8232,0.1478
T-510,Fruit ,Giant Jack - Stip/Stalk ,,,0,0.0984,0.8159,0.2401
T-511,Fruit ,Giant Jack - Gills,,,0.112,0.6305,10.6166,0.3913
T-512,Fruit ,Giant Jack - Cap Tissue ,,,0.052,0.2534,6.6969,0.4709
T-513,Edible,Blood Orange Sour Gummies (Red Boy) 190-250,RB10221122T1222F,Psilocybe Cubensis,0.006,0.0219,0.5882,0.0653
T-514,Edible,Peach Gummies (A.P.E.) 190-250,AP10221222S1222F,Psilocybe Cubensis,0.004,0.0182,0.5381,0.0913
T-515,Edible,Carmel Edible (Super Bowl) ,SB09220223F0223F,Psilocybe Cubensis,0,0.0079,0.1133,0.0646
T-516,Edible,Carmel Edible (Strain Hillbilly) ,HB10221222F0223F,Psilocybe Cubensis,0,0,0.1319,0.0888
T-517,Fruit ,Hill Billy-J,,Psilocybe Cubensis,0.032,0.0909,7.5168,0
T-518,Concentrate ,A-Silly Bottom,,Psilocybe Cubensis,0.086,0.1005,8.784,0
T-519,Concentrate ,A-APE,,Psilocybe Cubensis,0.105,0.3069,25.0103,0.9003
T-520,Concentrate ,J-3,,Psilocybe Cubensis,0.099,0.083,6.5725,0.3819
T-521,Concentrate ,J-4,,Psilocybe Cubensis,0.086,0,6.3652,0
T-522,Concentrate ,A,,Psilocybe Cubensis,0.093,0.1012,11.0979,0
T-523,Concentrate ,B,,Psilocybe Cubensis,0.095,0.0676,0.2915,0
T-524,Concentrate ,Top Fraction,,Psilocybe Cubensis,0,0,2.1927,0
T-525,Fruit ,Next Step ,NS01230123F,Psilocybe Cubensis,0.035,0.1608,5.7864,0.6934
T-526,Fruit ,ODPE,OD01230123S,Psilocybe Cubensis,0.032,0.1271,6.6157,1.4576
T-527,Fruit ,Psilomethoxin ,PM12221222P,Psilocybe Cubensis,0.05,0.2067,13.9867,1.0567
T-528,Fruit-QC,Tryp QC #2-22,,Psilocybe cubensis-Jack Frost Mix,0.05,0.2952,4.5086,0.7552
T-529,Fruit-QC,Tryp QC #2-23,,Psilocybe cubensis-Jack Frost Mix,0.058,0.2969,4.496,0.7064
T-530,Fruit-QC,Tryp QC #2-24,,Psilocybe cubensis-Jack Frost Mix,0.055,0.2742,4.5478,0.7309
T-531,Fruit,LT1,,,0,0,0,0
T-532,Fruit,DK1,,,0,0,0.0057,0
T-533,Fruit,PE-6,,,0.054,0.1385,5.4512,2.1152
T-534,Fruit,Ecuador,,,0.055,0.1838,3.8358,0.374
T-535,Fruit,Mazatapec,,,0.037,0.1764,4.5593,0.8254
T-536,Fruit,Columbian Rust Spore,,,0.065,0.3215,6.1202,1.4657
T-537,Fruit,Jalisco,,,0.036,0.2318,4.1383,0.3279
T-538,Fruit,Purple Mystic,,,0.055,0.2408,6.2477,0.3235
T-539,Fruit,Cambodia,,,0.047,0.2488,4.3416,0.2157
T-540,Fruit,Amazon,,,0.033,0.14,3.2586,0.3979
T-541,Fruit,APE aborts,,,0.089,0.543,16.7499,0.4981
T-542,Fruit-QC,Tryp QC #2-25 MU,,,0.082,0.3224,4.6414,0.7052
T-543,Fruit-QC,Tryp QC #2-26 MU,,,0.08,0.3169,4.5222,0.7397
T-544,Fruit-QC,Tryp QC #2-27 MU,,,0.082,0.338,4.6666,0.7333
T-545,Fruit-QC,Tryp QC #2-28,,,0.075,0.3396,4.69,0.7385
T-546,Fruit-QC,Tryp QC #2-29,,,0.05,0.3106,4.3846,0.6955
T-547,Fruit-QC,Tryp QC #2-30,,,0.067,0.3342,4.5867,0.763
T-548,Fruit-QC,Tryp QC #2-31,,,0.07,0.3247,4.6972,0.7475
T-549,Fruit-QC,Tryp QC #2-32,,,0.083,0.329,4.7446,0.7481
T-550,Fruit-QC,Tryp QC #2-33,,,0.076,0.3354,4.7401,0.753
T-551,Fruit,PE7,N/A,,0.027,0.1664,2.0516,0.4407
T-552,Fruit,Yeti-overripe,N/A,,0.03,0.0696,5.9837,1.0749
T-553,Fruit,Yeti-underripe,N/A,,0.043,0.1661,5.8885,1.9014
T-554,Fruit,Shiva Langem-Beautiful,N/A,,0.112,0.3187,12.5429,0.3818
T-555,Fruit,Trinity LB - Feb Batch,N/A,,0.074,0.2539,8.7293,0.241
T-556,Concentrate ,Brownie Goo,N/A,,0,0.0594,6.0171,0.487
T-557,Concentrate ,Psilomethoxin Isolate,,,0,0,0,1.2784
T-558,Fruit-QC,Tryp QC #2-34,,,0.148,0.303,4.9391,0.8372
T-559,Fruit-QC,Tryp QC #2-35,,,0.134,0.2832,4.7952,0.7958
T-560,Fruit-QC,Tryp QC #2-36,,,0.148,0.3074,5.1586,0.8574
T-561,Fruit,Bull Run,N/A,,0.12,0.0902,6.2304,0.3036
T-562,Concentrate ,Infinite Extract 1,N/A,,0.177,0.2075,17.4212,0.8391
T-563,Concentrate ,Hillbilly Extract 1,N/A,,0.278,0.4351,21.7109,0.6631
T-564,Edible,Gummy 1,23-Feb-23,,0,0.0056,0.7692,0.011
T-565,Tincture,Tincture 1,8-Mar-23,,0,0.0091,0.8883,0.0179
T-566,Concentrate ,S-Bark c1,,,0,0,0,0
T-567,Concentrate ,S-Bark c2,,,0,0,0,0
T-568,Concentrate ,S-Bark ML,,,0,0,0,0
T-569,Bark,Sample 1,,Mimosa hostilis,0,0,0,0
T-570,Bark,Sample 2,,Mimosa hostilis,0,0,0,0
T-571,Bark,Sample Frank,,Mimosa hostilis,0,0,0,0
T-572,Bark,Sample Atit,,Mimosa hostilis,0,0,0,0
T-480,Concentrate,DMT Isolate,,,0,0,0,0
T-566,Concentrate,S-Bark c1,,,0,0,0,0
T-567,Bark,Rep 1,,Mimosa hostilis,0,0,0,0
T-568,Bark,Rep 2,,Mimosa hostilis,0,0,0,0
T-569,Bark,Rep 3,,Mimosa hostilis,0,0,0,0
T-570,Bark,Rep 4,,Mimosa hostilis,0,0,0,0
T-571,Bark,Rep 5,,Mimosa hostilis,0,0,0,0
T-572,Bark,Rep 6,,Mimosa hostilis,0,0,0,0
T-573,Bark,Rep 7,,Mimosa hostilis,0,0,0,0
T-574,Bark,Rep 8,,Mimosa hostilis,0,0,0,0
T-575,Bark,Rep 9,,Mimosa hostilis,0,0,0,0
T-576,Bark,Rep 7 -24hrs,,Mimosa hostilis,0,0,0,0
T-577,Bark,Rep 8 -24hrs,,Mimosa hostilis,0,0,0,0
T-578,Bark,Rep 9 -24hrs,,Mimosa hostilis,0,0,0,0
T-579,Bark,Rep 10,,Mimosa hostilis,0,0,0,0
T-580,Bark,Rep 11,,Mimosa hostilis,0,0,0,0
T-581,Bark,Rep 12,,Mimosa hostilis,0,0,0,0
T-582,Bark,Rep 13,,Mimosa hostilis,0,0,0,0
T-583,Bark,Rep 14,,Mimosa hostilis,0,0,0,0
T-584,Bark,Rep 15,,Mimosa hostilis,0,0,0,0
T-585,Bark,Rep 16,,Mimosa hostilis,0,0,0,0
T-586,Bark,Rep 17,,Mimosa hostilis,0,0,0,0
